Plot,treeID,Species,DBH_cm,Bark_cm,Sap_cm,Saparea_cm2,Site
1,A87,Picea mariana,9.5,0.15,0.8,23.4676971223157,AUN
1,A88,Pinus banksiana,18.5,0.3,2.1,104.238044246109,AUN
1,A89,Picea mariana,8.4,0.1,1.6,33.1752184219082,AUN
1,A90,Pinus banksiana,13,0.4,2.6,78.4141526336012,AUN
1,A91,Picea mariana,9.5,0.15,1.8,43.5738901052904,AUN
1,A92,Picea mariana,13.3,0.2,1.1,44.1079608564007,AUN
1,A93,Pinus banksiana,21,0.3,2,120.731405677456,AUN
1,A94,Pinus banksiana,18.9,0.8,2.2,104.363707952253,AUN
1,A95,Picea mariana,11,0.15,1.2,38.3902622268673,AUN
1,A96,Picea mariana,10,0.05,0.5,18.8888258297086,AUN
1,A97,Picea mariana,12,0.05,1.1,41.8224522009141,AUN
1,A98,Picea mariana,14.2,0.05,1.7,71.1963435119787,AUN
1,A99,Pinus banksiana,21.5,0.15,2.4,141.748660529971,AUN
1,A100,Pinus banksiana,22,0.2,1.8,111.96636217394,AUN
1,A01,Pinus banksiana,30.3,0.2,4.1,546.008803193906,AME
1,A02,Pinus banksiana,32.5,0.4,3.6,325.468998911903,AME
1,A03,Pinus banksiana,30.5,0.3,5.4,433.351290636176,AME
1,A04,Pinus banksiana,35.9,0.3,2.8,304.420328132851,AME
1,A05,Pinus banksiana,26.4,0.7,2.6,195.281399347142,AME
1,A06,Pinus banksiana,23.8,0.1,1.4,110.584061406361,AME
1,A07,Pinus banksiana,28.2,0.1,3.6,295.278293510905,AME
1,A08,Pinus banksiana,30.6,0.3,2.7,254.469004940773,AME
1,A09,Pinus banksiana,19.6,0.1,2.1,128.176980266464,AME
1,A10,Pinus banksiana,27.9,0.2,5.4,385.284923036252,AME
1,A11,Pinus banksiana,26.5,0.4,3.9,278.219445401912,AME
1,A12,Pinus banksiana,20.8,0.5,1.9,111.840698467797,AME
1,A13,Pinus banksiana,15.3,0.3,1.6,69.4291976443345,AME
1,A14,Pinus banksiana,25.4,0.2,3,213.282725252211,AME
1,A15,Picea mariana,18.1,0.1,2.1,120.951317163207,AME
1,A16,Pinus banksiana,17.1,0.2,2.5,118.752202305694,AME
1,A17,Pinus banksiana,17.1,0.3,4.1,167.258392877121,AME
1,A18,Pinus banksiana,16.7,0.2,3.6,149.225651045515,AME
1,A19,Pinus banksiana,26.5,0.3,2.7,222.047768755727,AME
1,A20,Pinus banksiana,24,0.5,3.6,229.210600005911,AME
1,A21,Pinus banksiana,26.5,0.2,3.7,271.999091947804,AME
1,A22,Pinus banksiana,17.6,0.3,2.7,128.459723605287,AME
1,A23,Pinus banksiana,24.1,0.5,3.2,205.271663985557,AME
1,A24,Pinus banksiana,25.5,0.2,3.7,259.746880598804,AME
1,A25,Picea mariana,23,0.1,2.5,170.494233310318,AME
1,A26,Pinus banksiana,26.7,0.1,3.2,252.898208613978,AME
1,A27,Pinus banksiana,17.9,0.1,1.6,89.9123817457399,AME
1,A28,Picea mariana,12.7,0.3,2.4,73.1362769755704,AME
1,A29,Picea mariana,9.5,0.1,1.2,36.7566340470006,AME
1,A30,Pinus banksiana,25.8,0.4,3.8,263.893782901543,AME
1,A31,Pinus banksiana,25.1,0.2,3.5,244.101749183927,AME
1,A32,Pinus banksiana,27.9,1,3.5,246.30086404144,AME
1,A33,Pinus banksiana,27,0.6,3.7,262.637145840107,AME
1,A34,Picea mariana,7.3,0.2,1.3,24.1902634326414,AME
1,A35,Picea mariana,12.5,0.2,1.6,63.4601716025138,AME
1,A36,Picea mariana,7.6,0.2,1.5,29.3738913110646,AME
1,A37,Picea mariana,13.8,0.1,2.3,89.8495498926681,AME
1,A38,Picea mariana,13.2,0.1,1.1,54.1924732744239,AME
1,A39,Pinus banksiana,21.6,0.3,1.6,103.075654964281,AME
1,A40,Picea mariana,11.9,0.2,1.4,47.1238898038469,AME
1,A41,Pinus banksiana,28.4,0.5,4.1,300.116346197433,AME
1,A42,Pinus banksiana,22.1,0.3,4.3,236.373431256096,AME
1,A43,Abies balsamea,18,0.2,3.6,176.808834544034,AME
1,A44,Pinus banksiana,31.3,0.5,1.5,144.261934652843,AME
1,A45,Picea mariana,13.9,0.1,2.2,85.1999927653552,AME
1,A46,Pinus banksiana,22.7,0.4,2.6,168.012375113982,AME
1,A47,Picea mariana,14.7,0.1,1.4,64.8424723700933,AME
1,A48,Picea mariana,6.8,0.5,0.7,6.78584013175395,AME
1,A49,Picea mariana,6,0.5,0.7,5.78053048260522,AME
1,A50,Picea mariana,6.7,0.2,1,16.6504410640259,AME
1,A51,Picea mariana,8.7,0.1,1.4,33.842806860796,AME
1,A52,Pinus banksiana,31.2,0.5,3.3,286.261922595102,AME
1,A53,Pinus banksiana,22.3,0.2,2.7,173.101755212798,AME
1,A54,Pinus banksiana,17.8,0.1,2.6,133.926094822533,AME
1,A55,Pinus banksiana,21.7,0.1,2.2,144.010607240556,AME
1,A56,Pinus banksiana,23.9,0.2,2.7,187.678745125454,AME
1,A57,Picea mariana,12,0.1,1.3,45.7415890362674,AME
1,A58,Pinus banksiana,24.7,0.1,2.9,208.413256639147,AME
1,A59,Pinus banksiana,27.3,0.2,3.3,257.296438329004,AME
1,A60,Picea mariana,12.1,0.3,1.3,41.6575185866006,AME
1,A61,Pinus banksiana,20.3,0.5,1.8,103.861053127679,AME
1,A62,Picea mariana,16.1,0.5,1,48.3805268652828,AME
1,A63,Pinus banksiana,31.1,0.5,3.5,292.48227604921,AME
1,A64,Pinus banksiana,21.1,0.4,3,171.907950004434,AME
1,A65,Picea mariana,10.9,0.1,1.6,50.3283143105085,AME
1,A66,Pinus banksiana,29.4,0.3,4.1,324.589352968897,AME
1,A67,Pinus banksiana,26,0.3,3.1,229.116352226304,AME
1,A68,Pinus banksiana,15.8,0.2,2.1,87.744682814763,AME
1,A69,Pinus banksiana,26.6,0.3,2.3,177.939807899326,AME
1,A70,Picea mariana,15.9,0.1,2.5,110.269902141002,AME
1,A71,Picea mariana,18.6,0.1,2.2,124.878307980194,AME
1,A72,Picea mariana,11,0.1,1.5,46.2442438608418,AME
1,A73,Pinus banksiana,28,0.3,2.7,216.392901979265,AME
1,A74,Picea mariana,16.2,0.1,2.7,122.522113490002,AME
1,A75,Abies balsamea,5.8,0.1,0.8,12.0637157897848,AME
1,A76,Pinus banksiana,31.7,0.3,2.3,216.392901979265,AME
1,A77,Picea mariana,15.5,0.1,2.5,106.876982075125,AME
1,A01,Abies balsamea,23.5,0.2,2,156.074323030341,SLD
1,A02,Abies balsamea,12.7,0.1,2.4,83.1265416139859,SLD
1,A03,Abies balsamea,15.1,0.1,1.9,91.0433551010322,SLD
1,A04,Abies balsamea,11,0.1,1.9,61.4181363776805,SLD
1,A05,Picea mariana,26.7,0.2,1.6,152.681402964464,SLD
1,A06,Abies balsamea,8.8,0.1,1.3,33.4579617607313,SLD
1,A07,Abies balsamea,15.1,0.2,3.3,130.124767711689,SLD
1,A08,Abies balsamea,23.1,0.1,2.3,165.813260256469,SLD
1,A09,Abies balsamea,13.8,0.05,2.2,86.5901475145687,SLD
1,A10,Abies balsamea,8.2,0.1,2.1,41.1862796885622,SLD
1,A11,Abies balsamea,8.4,0.05,1,27.6852852597601,SLD
1,A12,Abies balsamea,10.3,0.1,0.9,28.5884931476671,SLD
1,A13,Abies balsamea,14.2,0.1,1.3,62.3291982472215,SLD
1,A14,Abies balsamea,20.2,0.05,0.6,57.1534243504323,SLD
1,A15,Abies balsamea,12,0.1,0.7,30.8190239317159,SLD
1,A16,Abies balsamea,16.6,0.05,1.8,96.9259873448791,SLD
1,A17,Abies balsamea,12.1,0.1,1.7,62.2035345410779,SLD
1,A18,Abies balsamea,11.9,0.05,0.9,36.9765455327519,SLD
1,A19,Abies balsamea,19.7,0.1,4.8,236.436263109168,SLD
1,A20,Abies balsamea,17.6,0.1,1.8,96.7610537305656,SLD
1,A21,Abies balsamea,8,0.1,1.4,32.5783158177261,SLD
1,A22,Abies balsamea,17.8,0.4,1.1,59.5645967120625,SLD
1,A23,Abies balsamea,14,0.25,1.1,51.5299735005066,SLD
1,A24,Abies balsamea,17.5,0.4,1.3,62.8946849248676,SLD
1,A25,Abies balsamea,11.1,0.4,0.5,18.2840692438926,SLD
1,A26,Abies balsamea,6.1,0.2,1.3,17.9699099785336,SLD
1,A27,Abies balsamea,16.5,0.4,1.3,54.6637121724624,SLD
1,A28,Abies balsamea,11.1,0.2,1,31.8321875624986,SLD
1,A29,Abies balsamea,5.5,0.1,1.1,14.5141580595848,SLD
1,A30,Abies balsamea,16.3,0.2,1.6,87.3362757697962,SLD
1,A31,Abies balsamea,10.1,0.15,0.8,22.6194671058465,SLD
1,A32,Abies balsamea,5.9,0.05,0.9,15.079644737231,SLD
1,A33,Abies balsamea,7.1,0.1,1.15,20.7737814218625,SLD
1,A34,Abies balsamea,5.9,0.05,1.1,16.7996667150714,SLD
1,A35,Abies balsamea,7.6,0.1,1.3,26.3893782901543,SLD
1,A36,Abies balsamea,16.2,0.4,1.8,84.1946831162064,SLD
1,A37,Picea mariana,30.3,0.3,2.6,273.695551980743,SLD
1,A38,Abies balsamea,16.2,0.1,2.3,109.453088051068,SLD
1,A39,Abies balsamea,15.3,0.1,2.6,108.196450989633,SLD
1,A40,Abies balsamea,8.8,0.05,1,26.2637145840107,SLD
1,A41,Abies balsamea,18.4,0.1,1.9,114.888043341779,SLD
1,A42,Abies balsamea,8.1,0.05,1.3,29.0283161191697,SLD
1,A43,Abies balsamea,7.2,0.05,1.3,25.0699093756466,SLD
1,A44,Abies balsamea,5.6,0.05,1,14.6790916738983,SLD
1,A45,Abies balsamea,15.3,0.05,1.15,62.6355035309465,SLD
1,A46,Abies balsamea,9.6,0.05,1.8,45.3645979178366,SLD
1,A47,Abies balsamea,22.2,0.1,1.8,134.075320473578,SLD
1,A48,Abies balsamea,25.3,0.2,1.2,117.118574125827,SLD
1,A49,Abies balsamea,24.1,0.1,1.2,118.563706746479,SLD
1,A50,Abies balsamea,26,0.2,2.1,187.86724068467,SLD
1,A51,Abies balsamea,13.2,0.1,0.8,41.1234478354904,SLD
1,A52,Abies balsamea,15.3,0.2,2.2,94.2477796076938,SLD
1,A53,Abies balsamea,8.6,0.05,1.4,33.842806860796,SLD
1,A54,Abies balsamea,24.2,0.1,2,156.796889340667,SLD
1,A55,Abies balsamea,25.1,0.1,2.4,194.401753404136,SLD
1,A56,Abies balsamea,12.3,0.25,0.7,27.6460153515902,SLD
1,A57,Abies balsamea,12.6,0.35,3.6,95.3159211099143,SLD
1,A58,Abies balsamea,8.2,0.2,1,23.1535378569568,SLD
1,A59,Abies balsamea,9.7,0.05,1,30.5284266112588,SLD
1,A60,Abies balsamea,10.1,0.2,2.3,56.5486677646163,SLD
1,A61,Betula papyrifera,37.8,0.3,8,766.39152784323,SLD
1,A62,Abies balsamea,9.2,0.05,2,47.6893764814931,SLD
1,A63,Abies balsamea,20.6,0.15,1.3,91.3025364949534,SLD
1,A64,Abies balsamea,12.9,0.1,1.15,44.9640448545039,SLD
1,A65,Abies balsamea,10.4,0.05,1,36.7566340470006,SLD
1,A66,Picea mariana,24.6,0.15,1.1,97.3343943898457,SLD
1,A67,Abies balsamea,8.3,0.1,2.1,40.7778726435955,SLD
1,A68,Abies balsamea,18.8,0.15,1.2,82.5374929914378,SLD
1,A69,Abies balsamea,9.1,0.05,1,27.3004401596953,SLD
1,A70,Abies balsamea,8.6,0.05,0.7,19.3522107461131,SLD
1,A71,Abies balsamea,5.6,0.05,1.2,17.1530958886003,SLD
1,A72,Abies balsamea,17.7,0.3,0.5,40.9663682028109,SLD
1,A73,Abies balsamea,8.3,0.05,1.3,30.7483380970101,SLD
2,B01,Thuja occidentalis,49.8,0.4,1.9,337.43846692208,SLD
2,B02,Thuja occidentalis,51,0.4,2.6,430.932264292912,SLD
2,B03,Thuja occidentalis,52.6,0.2,1.1,223.430069523306,SLD
2,B05,Thuja occidentalis,47.7,0.3,2.2,323.709707025893,SLD
2,B06,Thuja occidentalis,37.3,0.4,1.8,226.948653295327,SLD
2,B07,Thuja occidentalis,37.5,0.4,2.7,327.228290797913,SLD
2,B08,Thuja occidentalis,20.1,0.15,1.8,109.350986289827,SLD
2,B10,Thuja occidentalis,50.8,0.9,2,365.210145979813,SLD
2,B11,Thuja occidentalis,47.5,1.3,1.9,320.442450666158,SLD
2,B12,Thuja occidentalis,46.3,1,0.5,82.3725593771246,SLD
2,B13,Abies balsamea,33.9,0.8,7,556.376058950752,SLD
2,B14,Abies balsamea,18,0.7,2.3,103.326982376568,SLD
2,B15,Abies balsamea,32.5,0.8,10.3,666.583129238682,SLD
2,B16,Abies balsamea,24.7,0.9,1.4,94.5619388730528,SLD
2,B17,Abies balsamea,21.8,0.6,6.5,287.926966701505,SLD
2,B18,Abies balsamea,23.7,0.85,4.55,249.434602713396,SLD
2,B19,Abies balsamea,36.6,0.9,4.4,420.219433344171,SLD
2,B27,Abies balsamea,6.2,0.25,1.9,22.6822989589183,SLD
2,B28,Abies balsamea,38.6,1,2.2,237.755732023675,SLD
2,B29,Abies balsamea,5.2,0.2,1.4,14.9539810310874,SLD
2,B31,Abies balsamea,36.4,0.2,7.2,697.402153170398,SLD
2,B32,Abies balsamea,27.3,0.85,10.55,498.814227555353,SLD
2,B35,Abies balsamea,9,0.2,2.1,42.8827397215007,SLD
2,B36,Thuja occidentalis,47.8,0.1,4.9,704.313657008296,SLD
2,B38,Abies balsamea,36.6,0.7,5.7,528.258804701124,SLD
2,B39,Abies balsamea,16.8,0.7,4.4,152.053084433746,SLD
2,B40,Abies balsamea,37.3,0.95,12.65,904.111095794972,SLD
2,B42,Abies balsamea,33.2,0.7,2.8,255.097323471491,SLD
