Plot,treeID,Species,DBH_cm,Bark_cm,Sap_cm,Saparea_cm2,Site
3,A11,Quercus rubra,38.7,0.6,2.2,243.976085477783,SBL
3,A12,Quercus rubra,26.5,0.6,1.5,112.154857733156,SBL
3,A13,Quercus rubra,20.2,0.5,1.7,93.4623814442964,SBL
3,A14,Quercus rubra,22,0.7,1.2,73.1362769755704,SBL
3,A15,Quercus rubra,38.1,0.7,3.4,355.691120239436,SBL
3,A16,Quercus rubra,33.1,0.8,5.5,449.24774946334,SBL
3,A17,Quercus rubra,22,0.5,1,62.8318530717959,SBL
3,A18,Acer rubrum,8.6,0.4,1.5,29.6880505764235,SBL
3,A19,Acer rubrum,6,0.4,1.1,14.16858286769,SBL
3,A20,Quercus rubra,32.2,0.4,6,478.778720407085,SBL
3,B01,Quercus rubra,43.1,1,6.2,679.777818383759,SBL
3,B02,Quercus rubra,23.9,0.5,7,349.659262344544,SBL
3,B03,Quercus rubra,44.9,0.6,7.6,861.927360438896,SBL
3,B04,Quercus rubra,49,0.7,9.7,1154.94370723922,SBL
3,B05,Quercus rubra,21.4,0.6,4.9,235.525201239627,SBL
3,B06,Quercus rubra,21.9,0.5,6.7,298.891125062533,SBL
3,B07,Quercus rubra,34.5,0.6,9.2,696.553923153929,SBL
3,B08,Quercus rubra,31.3,0.4,10,644.026493985908,SBL
3,B09,Acer rubrum,6.2,0.2,1.5,20.2632726156542,SBL
3,B11,Acer rubrum,7.9,0.4,1.2,22.2424759874157,SBL
3,B12,Quercus rubra,8.2,0.2,1.5,29.6880505764235,SBL
3,B13,Acer rubrum,6.8,0.2,1.9,26.8606171881927,SBL
3,B14,Acer rubrum,6.6,0.3,1.5,21.2057504117311,SBL
3,B16,Acer saccharum,8.1,0.6,2.1,31.6672539481851,SBL
3,B17,Acer rubrum,10.7,0.4,1,27.9601746169492,SBL
3,B18,Acer rubrum,9.6,0.5,0.7,17.3730073743516,SBL
3,B19,Fagus grandifolia,24.3,0.3,5.7,322.327406258313,SBL
3,B20,Acer rubrum,11.8,0.8,2,51.5221195188726,SBL
3,B21,Quercus rubra,23,0.7,3,175.30087007031,SBL
3,C01,Quercus rubra,28.9,1,8,475.008809222777,SBL
3,C02,Quercus rubra,26,1,4.5,275.674755352504,SBL
3,C03,Quercus rubra,28.2,0.5,4.6,326.599972267195,SBL
3,C04,Quercus rubra,37.6,1.5,16.2,936.445938182046,SBL
3,C05,Quercus rubra,35.2,1.4,14.5,815.400373239231,SBL
3,C06,Acer rubrum,8.6,0.3,1.3,27.3632720127671,SBL
3,C07,Quercus rubra,24.4,0.4,3,194.150425991849,SBL
3,C08,Quercus rubra,26,1.6,8.3,378.090675859532,SBL
3,C09,Acer rubrum,6.2,0.2,1,15.079644737231,SBL
3,C10,Quercus rubra,9.7,0.6,3.5,54.9778714378214,SBL
3,C11,Quercus rubra,35.7,0.5,8.7,710.628258242011,SBL
3,C12,Quercus rubra,34.7,0.8,8.2,641.450388009964,SBL
3,C13,Quercus rubra,32.2,0.9,5.7,442.304829698907,SBL
3,C16,Acer rubrum,10.4,0.3,1.9,47.1553057303828,SBL
3,C19,Acer saccharum,6.4,0.3,2,23.8761041672824,SBL
3,C20,Acer saccharum,5.7,0.4,2.2,18.6610603623234,SBL
X,A01,Betula alleghaniensis,18.4,0.6,6.3,215.733167522011,SBL
X,A02,Betula alleghaniensis,12,0.2,4.4,99.5256552657247,SBL
X,A03,Betula alleghaniensis,7.9,0.2,2.6,40.023890406734,SBL
X,A04,Betula alleghaniensis,15.5,0.3,6.2,169.457507734633,SBL
X,A05,Betula alleghaniensis,18.3,0.3,6.4,227.199980707614,SBL
X,A06,Betula alleghaniensis,14.7,0.3,3.3,111.96636217394,SBL
X,A07,Betula alleghaniensis,18.3,0.2,4,174.672551539593,SBL
X,A08,Betula alleghaniensis,16.2,0.3,5.4,173.038923359726,SBL
X,A09,Betula alleghaniensis,41.9,1.2,7,714.712328691678,SBL
X,A10,Betula alleghaniensis,14.4,0.4,7,145.141580595848,SBL
X,A11,Betula alleghaniensis,30,0.8,9.9,575.382694504971,SBL
X,A12,Betula alleghaniensis,16,0.6,6.3,168.232286599733,SBL
X,B01,Fagus grandifolia,20.7,0.3,6.3,273.130065303097,SBL
X,B02,Fagus grandifolia,9.2,0.1,2.2,46.9982260977033,SBL
X,B03,Fagus grandifolia,24.7,0.3,6.6,362.853951489621,SBL
X,B04,Fagus grandifolia,14.9,0.2,4.5,141.371669411541,SBL
X,B05,Fagus grandifolia,6.4,0.2,1.7,22.9650422977414,SBL
X,B06,Fagus grandifolia,7.7,0.2,1.6,28.6513250007389,SBL
X,B07,Fagus grandifolia,17,0.2,5.5,191.794231501657,SBL
X,B08,Fagus grandifolia,19,0.2,2.5,126.449104306989,SBL
X,B09,Fagus grandifolia,11.6,0.3,3.6,83.6920282916321,SBL
X,B10,Fagus grandifolia,14,0.1,3.1,104.206628319573,SBL
A,3884,Abies balsamea,4.5,0.1,1.5,13.1946891450771,NBR
A,3814,Abies balsamea,5.5,0.1,0.5,7.53982236861551,NBR
A,160,Abies balsamea,5.7,0.1,2.6,23.687608608067,NBR
A,3882,Abies balsamea,5.8,0.2,2,21.3628300444106,NBR
A,184,Abies balsamea,6.3,0.1,2,25.7610597594363,NBR
A,250,Abies balsamea,6.6,0.1,1.1,18.3154851704285,NBR
A,241,Abies balsamea,7.8,0.2,3.5,42.8827397215007,NBR
A,92,Abies balsamea,8.3,0.25,2.6,42.474332676534,NBR
A,156,Abies balsamea,8.4,0.2,2.7,44.9561908728699,NBR
A,201,Abies balsamea,9.1,0.2,1,24.1902634326414,NBR
A,3765,Abies balsamea,10.5,0.3,3.5,70.3716754404114,NBR
A,3573,Abies balsamea,11,0.2,2,54.0353936417444,NBR
A,3748,Abies balsamea,11.6,0.5,1,30.159289474462,NBR
A,3772,Abies balsamea,13.3,0.2,4.4,117.495565244258,NBR
A,3773,Abies balsamea,15.8,0.3,5.2,163.362817986669,NBR
C,3810,Abies balsamea,5.7,0.15,1.7,19.7606177910798,NBR
C,3826,Abies balsamea,6.1,0.1,2.7,27.1433605270158,NBR
C,3803,Abies balsamea,6.8,0.1,3.2,34.1805280710569,NBR
C,85,Abies balsamea,7.8,0.2,3.9,42.8827397215007,NBR
C,61,Abies balsamea,8.1,0.2,3.3,45.6159253301238,NBR
C,89,Abies balsamea,8.4,0.1,2.8,47.5008809222777,NBR
C,3809,Abies balsamea,6.1,0.1,2.1,25.0699093756465,NBR
C,86,Abies balsamea,7.6,0.15,2.9,40.0867222598058,NBR
C,93,Abies balsamea,8.5,0.2,4.3,51.3336239596572,NBR
C,59,Abies balsamea,8.9,0.1,3.6,57.6796411199086,NBR
A,236,Acer rubrum,4.9,0.1,1.9,16.7132729170977,NBR
A,3854,Acer rubrum,6.5,0.2,1.8,24.315927138785,NBR
A,153,Acer rubrum,6.5,0.2,3,29.2168116783851,NBR
A,164,Acer rubrum,6.7,0.2,1.1,17.9699099785336,NBR
A,239,Acer rubrum,7.4,0.3,2.4,33.1752184219082,NBR
A,166,Acer rubrum,8,0.2,2.65,41.2098416334641,NBR
A,158,Acer rubrum,8.3,0.1,3.3,49.7628276328623,NBR
A,189,Acer rubrum,8.8,0.1,3,52.7787565803085,NBR
A,170,Acer rubrum,8.8,0.2,3.3,52.8730043599162,NBR
A,174,Acer rubrum,16.6,0.7,8,180.955736846772,NBR
A,172,Picea rubens,6.3,0.2,1.7,22.4309715466311,NBR
A,3869,Picea rubens,7.3,0.2,1.5,25.4469004940773,NBR
A,188,Picea rubens,7.7,0.1,1.8,32.2327406258313,NBR
C,83,Betula alleghaniensis,9.5,0.2,1.4,33.866368805698,NBR
B,4098,Picea rubens,9.1,0.1,3.7,60.4442426550676,NBR
B,3633,Picea rubens,11.2,0.3,5.4,88.2159217128014,NBR
B,3671,Picea rubens,16.5,0.3,6.5,191.951311134336,NBR
B,3783,Picea rubens,16.2,0.3,6.3,184.065913573826,NBR
B,3642,Picea rubens,16.2,0.3,6.9,188.589806994995,NBR
B,3761,Picea rubens,18.6,0.4,8.8,248.814138164312,NBR
B,3741,Picea rubens,19.2,0.5,7.3,249.97652744614,NBR
B,4030,Picea rubens,20.8,0.4,10.6,313.028292003687,NBR
B,3726,Picea rubens,22,0.4,8.7,341.64820107789,NBR
B,3641,Picea rubens,23.5,0.2,9.5,405.893770843801,NBR
B,3625,Picea rubens,27.7,0.5,11.7,551.349510705009,NBR
B,3740,Picea rubens,30.5,0.7,12.5,651.880475619882,NBR
B,4007,Picea rubens,35.8,0.5,13.4,900.883109343409,NBR
B,3745,Picea rubens,36.6,0.5,15.5,978.7631912259,NBR
1,A01,Picea mariana,18.5,0.15,2,112.743906355704,AUN
1,A02,Pinus banksiana,17.5,0.2,1.2,64.5283131047343,AUN
1,A03,Pinus banksiana,16.5,0.3,2,91.0433551010322,AUN
1,A04,Picea mariana,12.3,0.2,1.1,40.338049672093,AUN
1,A05,Picea mariana,15,0.15,1.4,67.6463438134222,AUN
1,A06,Pinus banksiana,16.7,0.2,1,52.5274291680213,AUN
1,A07,Picea mariana,11,0.2,1.1,35.4371651324929,AUN
1,A08,Pinus banksiana,16.5,0.3,1.3,59.6274285651343,AUN
1,A09,Picea mariana,20.3,0.2,1.9,117.432733391186,AUN
1,A10,Picea mariana,14.5,0.1,1.1,49.3858365144315,AUN
1,A11,Pinus banksiana,14.6,0.2,0.8,41.4690230273853,AUN
1,A12,Pinus banksiana,20.5,0.3,2,117.432733391186,AUN
1,A13,Picea mariana,14.3,0.6,1.1,41.4690230273852,AUN
1,A14,Picea mariana,9.5,0.2,0.9,25.4469004940773,AUN
1,A15,Picea mariana,23,0.2,1.7,129.4336173279,AUN
1,A16,Picea mariana,12.1,0.2,0.8,33.6150413934108,AUN
