Study	Method	Genus	Species	Calibration material	Wood porosity	Diameter	k	SFD	Granier
Cain 2009	TD	Macaranga	Macaranga hypoleuca	stem segment	Diffuse-porous	82	1.115685892	34.488036	49.02003216
Cain 2009	TD	Macaranga	Macaranga hypoleuca	stem segment	Diffuse-porous	82	1.070907868	40.38372	46.60948547
Cain 2009	TD	Macaranga	Macaranga hypoleuca	stem segment	Diffuse-porous	82	1.093236629	74.6982	47.80866434
Cain 2009	TD	Macaranga	Macaranga hypoleuca	stem segment	Diffuse-porous	82	1.161236575	49.13784	51.49521212
Cain 2009	TD	Macaranga	Macaranga hypoleuca	stem segment	Diffuse-porous	82	1.254389976	56.34324	56.62653161
Cain 2009	TD	Macaranga	Macaranga hypoleuca	stem segment	Diffuse-porous	82	1.351057703	70.1604	62.04532026
Cain 2009	TD	Macaranga	Macaranga hypoleuca	stem segment	Diffuse-porous	82	1.376694949	67.56804	63.49780226
Cain 2009	TD	Macaranga	Macaranga hypoleuca	stem segment	Diffuse-porous	82	1.376699932	65.93616	63.49808523
Cain 2009	TD	Macaranga	Macaranga hypoleuca	stem segment	Diffuse-porous	82	1.452127054	61.88364	67.80740827
Cain 2009	TD	Macaranga	Macaranga hypoleuca	stem segment	Diffuse-porous	82	1.478408477	80.63172	69.32125597
Cain 2009	TD	Macaranga	Macaranga hypoleuca	stem segment	Diffuse-porous	82	1.556831953	72.98064	73.87526299
Cain 2009	TD	Macaranga	Macaranga hypoleuca	stem segment	Diffuse-porous	82	1.63785834	87.42312	78.6364017
Cain 2009	TD	Macaranga	Macaranga hypoleuca	stem segment	Diffuse-porous	82	1.750176336	78.35112	85.32634978
Cain 2009	TD	Macaranga	Macaranga pearsonii	stem segment	Diffuse-porous	67	0	0	0
Cain 2009	TD	Macaranga	Macaranga pearsonii	stem segment	Diffuse-porous	67	0.134976088	8.380872	3.640789996
Cain 2009	TD	Macaranga	Macaranga pearsonii	stem segment	Diffuse-porous	67	0.171571479	7.701336	4.89160492
Cain 2009	TD	Macaranga	Macaranga pearsonii	stem segment	Diffuse-porous	67	0.265739527	15.704712	8.382141583
Cain 2009	TD	Macaranga	Macaranga pearsonii	stem segment	Diffuse-porous	67	0.367112917	18.158544	12.4772205
Cain 2009	TD	Macaranga	Macaranga pearsonii	stem segment	Diffuse-porous	67	0.367827244	16.950492	12.50711359
Cain 2009	TD	Macaranga	Macaranga pearsonii	stem segment	Diffuse-porous	67	0.475790129	17.479044	17.16911277
Cain 2009	TD	Macaranga	Macaranga pearsonii	stem segment	Diffuse-porous	67	0.667355362	33.938748	26.03952868
Cain 2009	TD	Macaranga	Macaranga pearsonii	stem segment	Diffuse-porous	67	0.667236237	26.7282	26.03380691
Cain 2009	TD	Macaranga	Macaranga pearsonii	stem segment	Diffuse-porous	67	0.668052546	22.424508	26.07302011
Cain 2009	TD	Macaranga	Macaranga pearsonii	stem segment	Diffuse-porous	67	0.745266808	30.80538	29.83082489
Cain 2009	TD	Macaranga	Macaranga pearsonii	stem segment	Diffuse-porous	67	0.826696655	31.900176	33.8924224
Cain 2009	TD	Macaranga	Macaranga pearsonii	stem segment	Diffuse-porous	67	0.883772359	51.22908	36.79548337
Cain 2009	TD	Macaranga	Macaranga pearsonii	stem segment	Diffuse-porous	67	0.971453264	36.88344	41.33955865
Cain 2009	TD	Macaranga	Macaranga pearsonii	stem segment	Diffuse-porous	67	1.002808512	41.82876	42.98815779
Cain 2009	TD	Macaranga	Macaranga pearsonii	stem segment	Diffuse-porous	67	1.033659571	48.66192	44.62191474
Cain 2009	TD	Macaranga	Macaranga pearsonii	stem segment	Diffuse-porous	67	1.064590188	51.64416	46.27123269
Cain 2009	TD	Macaranga	Macaranga pearsonii	stem segment	Diffuse-porous	67	1.065436753	74.82384	46.31653151
Cain 2009	TD	Macaranga	Macaranga pearsonii	stem segment	Diffuse-porous	67	1.196344853	56.92968	53.41837504
Cain 2009	TD	Macaranga	Macaranga pearsonii	stem segment	Diffuse-porous	67	1.338731786	63.80028	61.34924935
Cain 2009	TD	Macaranga	Macaranga pearsonii	stem segment	Diffuse-porous	67	1.37549986	67.4244	63.42995449
Cain 2009	TD	Macaranga	Macaranga pearsonii	stem segment	Diffuse-porous	67	1.4134697	55.87236	65.59219242
Cain 2009	TD	Macaranga	Macaranga pearsonii	stem segment	Diffuse-porous	67	1.573516014	71.35056	74.85104515
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.066602	2.7041976	1.526027263
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.0665999	3.2920668	1.525968032
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.0715343	3.2528772	1.666313084
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.0740004	3.5272152	1.737307118
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.0830449	3.958308	2.002274995
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.0978446	4.742136	2.450193252
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.138955	7.054416	3.773354219
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.141421	7.328772	3.855956073
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.150466	7.6815	4.161751098
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.159509	8.426124	4.471755336
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.194867	9.4059	5.721597572
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.106068	4.898916	2.706099954
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.238449	10.464084	7.335392035
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.11182	6.07464	2.887865429
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.114286	6.427368	2.966462656
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.118397	6.623316	3.098359888
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.122507	7.015248	3.231287019
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.138953	7.603128	3.773287363
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.331365	13.560192	10.99884114
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.319029	13.834512	10.49698055
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.295176	14.971068	9.53935973
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.333007	14.304816	11.06597161
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.319835	18.302328	10.52963587
